AAA	Anaa, French Polynesia
GDY	Grundy, VA [Grundy Municipal Airport], USA
GEA	Noumea [Magenta], New Caledonia
GEB	Gebe, Indonesia
GEC	Gecitkale, Cyprus
GED	Georgetown, DE [Sussex County Airport], USA
GEF	Geva, Solomon Islands
GEG	Spokane, WA [Spokane International Airport], USA
GEI	Green Isle, Solomon Islands
GEK	Ganes Creek, AK, USA
GEL	Santo Angelo, RS, Brazil
GEN	Oslo [Gardermoen], Norway
GEO	Georgetown [Timehri], Guyana
GER	Nueva Gerona, Cuba
GES	General Santos, Philippines
GET	Geraldton, Western Australia, Australia
GEU	Glendale, AZ [Glendale Municipal Airport], USA
GEV	Gallivare, Sweden
GEW	Gewoya, Papua New Guinea
GEX	Geelong, Victoria, Australia
GEY	Greybull, WY [South Big Horn County Airport], USA
GFA	Great Falls, MT [Malmstrom Air Force Base], USA
GFB	Togiak Fish, AK, USA
GFD	Greenfield, IN [Pope Field], USA
GFE	Grenfell, New South Wales, Australia
GFF	Griffith, New South Wales, Australia
GFK	Grand Forks, ND [Grand Forks International Airport], USA
GFL	Glens Falls, NY [Warren County Airport], USA
GFN	Grafton, New South Wales, Australia
GFO	Bartica, Guyana
GFR	Granville, France
GFY	Grootfontein, Namibia
GFZ	Greenfield, IA [Greenfield Municipal Airport], USA
GGC	Lumbala, Angola
GGD	Gregory Downs, Queensland, Australia
GGE	Georgetown, SC [Georgetown County Airport], USA
GGF	Grant, NE [Grant Municipal Airport], USA
GGG	Longview, TX [Gregg County Airport], USA
GGI	Grinnell, IA [Grinnell Regional Airport], USA
GGL	Gilgal, Colombia
GGN	Gagnoa, Ivory Coast
GGO	Guiglo, Ivory Coast
GGP	Logansport, IN [Logansport Municipal Airport], USA
GGR	Garde, Somalia
GGS	Gobernador dos Gregores, Argentina
GGT	George Town, Exuma, Bahamas
GGW	Glasgow, MT [Glasgow International Airport], USA
GHA	Ghardaia [Noumerate], Algeria
GHB	Governors Harbour, Eleuthera, Bahamas
GHC	Great Harbour Cay, Berry, Bahamas
GHD	Ghimbi, Ethiopia
GHE	Garachine, Panama
GHK	Gush Katif, Israel
GHL	Garden Hill, MB, Canada
GHM	Centerville, TN [Centerville Municipal Airport], USA
GHN	Golden Horn, AK [Golden Horn Lodge Seaplane Base], USA
GHT	Ghat, Libya
GHU	Gualeguaychu, Argentina
GHW	Glenwood, MN [Glenwood Municipal Airport], USA
GIB	Gibraltar [North Front], Gibraltar
GIC	Boigu Island, Queensland, Australia
GID	Gitenga, Burundi
GIF	Winter Haven, FL [Winter Haven's Gilbert Airport], USA
GIG	Rio de Janeiro, RJ [Aeroporto Internacional Galeao], Brazil
GII	Siguiri, Guinea
GIL	Gilgit, Pakistan
GIM	Miele Mimbale, Gabon
GIO	Geilo, Norway
GIR	Giradot, Colombia
GIS	Gisborne, New Zealand
GIT	Geita, Tanzania
GIY	Giyana, South Africa
GIZ	Gizan, Saudi Arabia
GJA	Guanaja Island, Honduras
GJI	Grand Ledge, MI [Abrams Municipal/Base Operations Airport], USA
GJL	Jijel [Taher], Algeria
GJM	Guajara-Mirim, RO, Brazil
GJN	Jounieh, Lebanon
GJR	Reykjarnes [Gjogur], Iceland
GJT	Grand Junction, CO [Walker Field], USA
GKA	Goroka, Papua New Guinea
GKE	Geilenkirchen, Germany
GKH	Gorkha, Nepal
GKL	Great Keppel Island, Queensland, Australia
GKN	Gulkana, AK [Gulkana Airport], USA
GKO	Kongoboumba, Gabon
GKT	Sevierville, TN [Gatlinburg-Pigeon Forge Airport], USA
GLA	Glasgow, Scotland [Abbotsichn], United Kingdom
GLC	Geladi, Ethiopia
GLD	Goodland, KS [Renner Field (Goodland Municipal)], USA
GLE	Gainesville, TX [Gainesville Municipal Airport], USA
GLF	Golfito, Costa Rica
GLG	Glengyle, Queensland, Australia
GLH	Greenville, MS [Greenville Municipal Airport], USA
GLI	Glen Innes, New South Wales, Australia
GLK	Galcaio, Somalia
GLL	Goll, Norway
GLM	Glenormiston, Australia
GLN	Goulimime, Morocco
GLO	Gloucester, United Kingdom
GLP	Gulgubip, Papua New Guinea
GLQ	Glennallen, AK [Brenwicks Airport], USA
GLR	Gaylord, MI [Otsego County Airport], USA
GLS	Galveston, TX [Scholes Field], USA
GLT	Gladstone, Queensland, Australia
GLV	Golovin, AK [Golovin Airport], USA
GLW	Glasgow, KY [Glasgow Municipal Airport], USA
GLX	Galela, Indonesia
GLY	Mt. Goldworthy, Western Australia, Australia
GMA	Gemana, Zaire
GMB	Gambela, Ethiopia
GMC	Guerima, Colombia
GME	Homyel (Gomel), Homyel, Belarus
GMI	Gasmata Island, Papua New Guinea
GMM	Gamboma, Congo
GMN	Greymouth, New Zealand
GMR	Mangareva, Gambier Islands, French Polynesia
GMS	Guimaraes, MA, Brazil
GMT	Granite Mountain, AK, USA
GMU	Greenville, SC [Greenville Downtown Airport], USA
GMY	Rheindahlen, Germany
GNA	Hrodna (Grodna), Hrodna, Belarus
GNB	Grenoble [Saint Geoirs], France
GND	Grenada (Grenville) [Pearls], Grenada
GNE	Ghent (Gent) [St. Denijs-Westrem], Belgium
GNG	Gooding, ID [Gooding Municipal Airport], USA
GNI	Green Island, Jamaica
GNJ	Genjem, Indonesia
GNM	Guanambi, BA, Brazil
GNN	Ghinnir, Ethiopia
GNO	Pointe Saline, Grenada
GNR	General Roca, Argentina
GNS	Gunungsitoli, Indonesia
GNT	Grants, NM [Grants-Milan Municipal Airport], USA
GNU	Goodnews Bay, AK [Goodnews Airport], USA
GNV	Gainesville, FL [Gainesville Regional Airport], USA
GNY	Granby, CO [Granby-Grand County Airport], USA
GNZ	Ghanzi, Botswana
GOA	Genoa (Genova) [Cristoforo Colombo (Seatri)], Italy
GOB	Goba, Ethiopia
GOC	Gora, Papua New Guinea
GOE	Gonaila, Papua New Guinea
GOF	San Angelo, TX [Goodfellow Air Force Base], USA
GOH	Godthab/Nuuk, Greenland
GOI	Goa, India
GOJ	Nizhniy Novgorod, Nizhniy Novgorod [Sormavo], Russia
GOK	Guthrie, OK [Guthrie Municipal Airport], USA
GOL	Gold Beach, OR [Gold Beach Municipal Airport], USA
GOM	Goma, Zaire
GON	Groton (New London), CT [Groton-New London Airport], USA
GOO	Goondiwindi, Queensland, Australia
GOP	Gorakhpur, India
GOQ	Golmud, China
GOR	Gore, Ethiopia
GOS	Gosford, New South Wales, Australia
GOT	Goteborg (Gothenburg) [Landvetter], Sweden
GOU	Garoua, Cameroon
GOV	Nhulunbuy, Northern Territory [Gove], Australia
GOW	Garrow Lake, Canada
GOY	Gal Oya, Sri Lanka
GOZ	Gorna [Orechovis], Bulgaria
GPA	Araxos/Patras, Greece
GPB	Guarapuava, PR, Brazil
GPI	Guapi, Colombia
GPL	Guapiles, Costa Rica
GPN	Garden Point, Northern Territory, Australia
GPO	General Pico, Argentina
GPS	Galapagos Islands, Galapagos, Ecuador
GPT	Gulfport/Biloxi, MS [Gulfport-Biloxi Regional Airport], USA
GPZ	Grand Rapids, MN [Grand Rapids/Itasca County Airport-Gordon Newstrom Field], USA
GQJ	Machrihanish, Scotland [RAF Station], United Kingdom
GQQ	Galion, OH [Galion Municipal Airport], USA
GRA	Gamarra, Colombia
GRB	Green Bay, WI [Austin Straubel International Airport], USA
GRC	Grand Cess, Liberia
GRD	Greenwood, SC [Greenwood County Airport], USA
GRE	Greenville, IL [Greenville Airport], USA
GRF	Fort Lewis (Tacoma), WA [Gray Army Air Field], USA
GRG	Gardez, Afghanistan
GRH	Garuahi, Papua New Guinea
GRI	Grand Island, NE [Central Nebraska Regional Airport], USA
GRJ	George, South Africa
GRK	Fort Hood (Killeen), TX [Robert Gray Army Air Field], USA
GRL	Garasa, Papua New Guinea
GRM	Grand Marais, MN [Grand Marais/Cook County Airport], USA
GRN	Gordon, NE [Gordon Municipal Airport], USA
GRO	Gerona [Gerona-Costa Brava], Spain
GRP	Gurupi, GO, Brazil
GRQ	Groningen [Eeide], Netherlands
GRR	Grand Rapids, MI [Kent County International Airport], USA
GRS	Grosseto, Italy
GRT	Gujrat, Pakistan
GRU	Sao Paulo, SP [Aeroporto Internacional Guarulhos], Brazil
GRV	Groznyy (Grozny,Groznyj), Checheno-Ingushetia, Russia
GRW	Graciosa Island, Azores, Portugal
GRX	Granada, Spain
GRY	Grimsey, Iceland
GRZ	Graz [Thalerhof], Austria
GSA	Long Paisa, Sabah, Malaysia
GSB	Goldsboro, NC [Seymour Johnson Air Force Base], USA
GSC	Gascoyne Junction, Western Australia, Australia
GSE	Goteborg [Save], Sweden
GSG	Glasgow, MT [Glasgow Industrial Airport], USA
GSH	Goshen, IN [Goshen Municipal Airport], USA
GSI	Guadalcanal, Solomon Islands
GSN	Mount Gunson, South Australia, Australia
GSO	Greensboro/High Point, NC [Piedmont Triad International Airport], USA
GSP	Greenville/Spartanburg (Greer), SC [Greenville-Spartanburg Airport], USA
GSR	Gardo, Somalia
GST	Gustavus, AK [Gustavus Airport], USA
GSU	Gedaref, Sudan
GSW	Fort Worth, TX [Greater Southwest Airport], USA
GSY	Grimsby, United Kingdom
GTB	Genting, Malaysia
GTC	Green Turtle Cay, Bahamas
GTE	Groote Eylandt, Northern Territory, Australia
GTF	Great Falls, MT [Great Falls International Airport], USA
GTG	Grantsburg, WI [Grantsburg Municipal Airport], USA
GTI	Guettin, Germany
GTK	Sungei Takai, Malaysia
GTN	Mount Cook [Glentan], New Zealand
GTO	Gorontalo, Indonesia
GTR	Columbus/West Point/Starkville, MS [Golden Triangle Regional Airport], USA
GTS	Granites, Northern Territory, Australia
GTT	Georgetown, Queensland, Australia
GTW	Gottwaldov, Slovakia
GTY	Gettysburg, PA, USA
GUA	Guatemala City [La Aurora], Guatemala
GUB	Guerrero Negro, Mexico
GUC	Gunnison, CO [Gunnison County Airport], USA
GUD	Goundam, Mali
GUF	Gulf Shores, AL [Jack Edwards Airport], USA
GUG	Guari, Papua New Guinea
GUH	Gunnedah, New South Wales, Australia
GUI	Guiria, Venezuela
GUJ	Guaratingueta, SP, Brazil
GUL	Goulburn, New South Wales, Australia
GUM	Guam, Guam
GUN	Montgomery, AL [Gunter Air Force Base], USA
GUO	Gualaco, Honduras
GUP	Gallup, NM [Gallup Municipal Airport], USA
GUQ	Guanare, Venezuela
GUR	Gurney/Alotau, Papua New Guinea
GUS	Peru, IN [Grissom Air Force Base], USA
GUT	Guetersloh (Gutersloh), Germany
GUU	Grundarfjordur [Bakki], Iceland
GUV	Mougulu, Papua New Guinea
GUW	Atyrau (Guryev), Atyrau, Kazakhstan
GUX	Guna, India
GUY	Guymon, OK [Guymon Municipal Airport], USA
GVA	Geneva [Geneve-Cointrin], Switzerland
GVD	Andravida, Greece
GVE	Gordonsville, VA [Gordonsville Municipal Airport], USA
GVI	Green River, Papua New Guinea
GVL	Gainesville, GA [Lee Gilmer Memorial Airport], USA
GVP	Greenvale, Queensland, Australia
GVR	Governador Valadares, MG, Brazil
GVT	Greenville, TX [Majors Airport], USA
GVW	Grandview (Kansas City), MO [Richards-Gebaur Airport], USA
GVX	Gavle, Sweden
GWA	Gwa Burma, Myanmar
GWD	Gwadar, Pakistan
GWE	Gweru, Zimbabwe
GWL	Gwalior, India
GWO	Greenwood, MS [Greenwood-Leflore Airport], USA
GWR	Gwinner, ND [Gwinner Airport-Roger Melroe Field], USA
GWS	Glenwood Springs, CO [Glenwood Springs Municipal Airport], USA
GWT	Westerland, Sylt Island, Germany
GWV	Glendale, WV [Glendale Fokker Field], USA
GWW	Goldsboro-Wayne, NC [Goldsboro-Wayne Municipal Airport], USA
GWY	Galway, Ireland
GXF	Seiyun, Yemen
GXG	Negage, Angola
GXH	Mildenhall, England [Naval Air Facility], United Kingdom
GXQ	Coyhaique, Chile
GXX	Yagoua, Cameroon
GXY	Greeley, CO [Greeley-Weld County Airport], USA
GYA	Guayaramerin, Bolivia
GYE	Guayaquil [Simon Bolivar], Ecuador
GYI	Gisenyi, Rwanda
GYM	Guaymas [General Jose Maria Yanez], Mexico
GYN	Goiania, GO, Brazil
GYP	Gympie, Queensland, Australia
GYR	Goodyear, AZ [Phoenix-Goodyear Municipal Airport], USA
GYY	Gary, IN [Gary Regional Airport], USA
GZI	Ghazni, Afghanistan
GZM	Gozo, Malta
GZO	Gizo, Solomon Islands
GZS	Pulaski, TN [Abernathy Field], USA
GZT	Gaziantep, Turkey
HAA	Hasvik, Norway
HAB	Hamilton, AL [Marion County Airport], USA
HAC	Hachijo Jima Island, Japan
HAD	Halmstad [Halmstad Air Base], Sweden
HAE	Havasupai, AZ, USA
HAF	Half Moon Bay, CA [Half Moon Bay Airport], USA
HAG	Den Haag (The Hague)/Hilversum, Netherlands
HAH	Moroni [Hahaya], Comoros
HAI	Three Rivers, MI [Three Rivers Municipal Dr. Haines Airport], USA
HAJ	Hannover [Langenhagen], Germany
HAK	Haikou, China
HAL	Halali, South Africa
HAM	Hamburg [Fuhlsbuttel], Germany
HAN	Hanoi [Noi-Bai], Vietnam
HAO	Hamilton, OH [Hamilton-Fairfield Airport], USA
HAP	Whitsunday Kontiki Resort (Long Island), Queensland, Australia
HAR	Harrisburg, PA [Capital City Airport], USA
HAS	Hail, Saudi Arabia
HAT	Heathlands, Queensland, Australia
HAU	Haugesund [Karmoy], Norway
HAV	La Habana (Havana) [Aeropuerto Internacional Jose Marti], Cuba
HAW	Haverfordwest, Wales [Haverfordwest Airport], United Kingdom
HAX	Muskogee, OK [Hatbox Field], USA
HAY	Haycock, AK [Haycock Airport], USA
HAZ	Hatzfeldthaven, Papua New Guinea
HBA	Hobart, Tasmania, Australia
HBB	Hobbs, NM [Hobbs Industrial Airpark], USA
HBC	Hanus Bay, AK, USA
HBG	Hattiesburg, MS [Bobby L. Chain Municipal Airport], USA
HBH	Hobart Bay, AK, USA
HBI	Harbour Island, Bahamas
HBL	Babelegi, South Africa
HBN	Phu-Bon, Vietnam
HBO	Humboldt, NE [Humboldt Municipal Airport], USA
HBR	Hobart, OK [Hobart Municipal Airport], USA
HBT	Hafr Albatin, Saudi Arabia
HBW	Hillsboro, WI [Joshua Sanford Field], USA
HBX	Hubli, India
HBZ	Heber Springs, AR [Heber Springs Municipal Airport], USA
HCA	Big Spring, TX, USA
HCB	Shoal Cove, AK, USA
HCD	Hutchinson, MN [Hutchinson Municipal Airport-Butler Field], USA
HCM	Ell, Somalia
HCQ	Halls Creek, Western Australia, Australia
HCR	Holy Cross, AK [Holy Cross Airport], USA
HCS	Johannesburg [Johannesburg Heliport], South Africa
HCW	Cheraw, SC [Cheraw Municipal Airport], USA
HDA	Hidden Falls, AK, USA
HDB	Heidelberg [Downtown Bus Station], Germany
HDD	Hyderabad, Pakistan
HDE	Holdrege, NE [Brewster Field], USA
HDF	Heringsdorf, Germany
HDH	Mokuleia, HI [Dillingham Air Force Base], USA
HDI	Cleveland, TN [Hardwick Field], USA
HDL	Holikachuk, AK, USA
HDM	Hamadan, Iran
HDN	Steamboat Springs (Hayden), CO [Yampa Valley Airport], USA
HDO	Hondo, TX [Hondo Municipal Airport], USA
HDY	Hatyai (Hat Yai) [Songkhia], Thailand
HEA	Herat, Afghanistan
HEB	Henzada, Myanmar
HED	Herendeen Bay, AK [Herendeen Bay Airport], USA
HEE	Helena/West Helena, AR [Thompson-Robbins Airport], USA
HEH	Heho, Myanmar
HEI	Heide/Buesum, Germany
HEK	Heihe, China
HEL	Helsinki [Vantaa], Finland
HEM	Helsinki [Malmi], Finland
HEN	Hendon, England, United Kingdom
HER	Heraklion (Iraklion), Crete, Greece
HES	Hermiston, OR [Hermiston Municipal Airport], USA
HET	Hohhot, China
HEX	Santo Don Herrera, Dominican Republic
HEY	Fort Rucker/Ozark, AL [Hanchey Army Heliport], USA
HEZ	Natchez, MS [Hardy-Anders Field Natchez-Adams County], USA
HFA	Haifa, Israel
HFD	Hartford, CT [Hartford-Brainard Airport], USA
HFE	Hefei, China
HFF	Hoffmann/Camp Mackall, NC [Mackall Army Air Field], USA
HFN	Hofn [Hornafjordur], Iceland
HFS	Hagfors, Sweden
HFT	Hammerfest, Norway
HFY	Indianapolis, IN [Greenwood Municipal Airport], USA
HGA	Hargeisa, Somalia
HGD	Hughenden, Queensland, Australia
HGH	Hangzhou [Jianqiao], China
HGL	Helgoland, Germany
HGN	Mae Hong Son, Thailand
HGO	Korhogo, Ivory Coast
HGR	Hagerstown, MD [Washington County Regional Airport], USA
HGS	Freetown [Hastings], Sierra Leone
HGT	Fort Hunter/Liggett/Jolon, CA [Tusi Army Heliport], USA
HGU	Mt. Hagen, Papua New Guinea
HGZ	Hogatza, AK [Hog River Airport], USA
HHA	Huanghua, China
HHE	Hachinohe, Japan
HHF	Canadian, TX [Hemphill County Airport], USA
HHG	Huntington, IN [Huntington Municipal Airport], USA
HHH	Hilton Head Island, SC [Hilton Head Airport], USA
HHI	Wahiawa, HI [Wheeler Army Air Field], USA
HHN	Hahn, Germany
HHP	Hong Kong [Hong Kong Heliport], Hong Kong
HHQ	Hua Hin, Thailand
HHR	Hawthorne, CA [Hawthorne Municipal Airport], USA
HHZ	Hikueru, French Polynesia
HIB	Hibbing, MN [Chisholm-Hibbing Airport], USA
HIC	Pretoria [Pretoria Heliport], South Africa
HID	Horn Island, Wallis and Futuna Islands
HIE	Whitefield, NH [Mount Washington Regional Airport], USA
HIF	Ogden, UT [Hill Air Force Base], USA
HIG	Highbury, Australia
HIH	Hook Island, Australia
HII	Lake Havasu City, AZ [Lake Havasu City Airport], USA
HIJ	Hiroshima, Japan
HIK	Honolulu, HI [Hickam Air Force Base], USA
HIL	Shillavo, Ethiopia
HIN	Chinju, South Korea
HIO	Hillsboro (Portland), OR [Portland-Hillsboro Airport], USA
HIP	Headingly, Queensland, Australia
HIR	Honiara, Guadalcanal Is. [Henderson], Solomon Islands
HIS	Hayman Island, Queensland, Australia
HIT	Hivaro, Papua New Guinea
HIU	Higuerote, Venezuela
HIW	Hiroshima [Hiroshima West], Japan
HIX	Hiva Oa, Marquesas Islands, French Polynesia
HJH	Hebron, NE [Hebron Municipal Airport], USA
HJR	Khajuraho, India
HKA	Blytheville, AR [Blytheville Municipal Airport], USA
HKB	Healy Lake, AK [Healy River Airport], USA
HKD	Hakodate, Hokkaido, Japan
HKG	Hong Kong [Kai-Tak International Airport], Hong Kong
HKK	Hokitika, New Zealand
HKN	Hoskins [Kimbe], Papua New Guinea
HKP	Kaanapali, HI, USA
HKS	Jackson, MS [Hawkins Field], USA
HKT	Phuket, Thailand
HKV	Haskovo, Bulgaria
HKW	Hankow, China
HKY	Hickory, NC [Hickory Regional Airport], USA
HLA	Lanseria, South Africa
HLB	Batesville, IN [Hillenbrand Industries Airport], USA
HLC	Hill City, KS [Hill City Municipal Airport], USA
HLD	Hailar, China
HLF	Hultsfred, Sweden
HLG	Wheeling, WV [Wheeling Ohio County Airport], USA
HLH	Ulanhot, China
HLI	Hollister, CA [Hollister Municipal Airport], USA
HLJ	Shauliaj, Lithuania
HLL	Hillside, Western Australia, Australia
HLM	Holland, MI [Park Township Airport], USA
HLN	Helena, MT [Helena Regional Airport], USA
HLO	Onundarfjordur [Ingjaldssandur], Iceland
HLP	Jakarta [Halim Perdanakusuma International], Indonesia
HLR	Fort Hood (Killeen), TX [Hood Army Air Field], USA
HLS	St. Helens, Tasmania, Australia
HLT	Hamilton, Victoria, Australia
HLU	Houailo, New Caledonia
HLV	Helenvale, Australia
HLW	Hluhluwe, South Africa
HLX	Galax/Hillsville, VA [Twin County Airport], USA
HLY	Holyhead, Wales [Valley Airport], United Kingdom
HLZ	Hamilton, New Zealand
HMA	Malmo [Hovercraft Harbour Terminal], Sweden
HME	Hassi Messaoud [Oued Irara], Algeria
HMG	Hermannsburg, Northern Territory, Australia
HMH	Home Hill, Queensland, Australia
HMI	Hami, China
HMJ	Khmel'nyts'kyy (Khmel'nitskiy), Khmel'nyts'kyy, Ukraine
HMN	Alamogordo, NM [Holloman Air Force Base], USA
HMO	Hermosillo [General Ignacio Pesqueira], Mexico
HMR	Hamar [Stafsberg], Norway
HMS	Homeshore, AK, USA
HMT	Hemet, CA [Hemet-Ryan Airport], USA
HMY	Lexington, OK [Muldrow Airfield Heliport], USA
HNA	Morioka [Hanamaki], Japan
HNB	Huntingburg, IN [Huntingburg Airport], USA
HNC	Hatteras, NC [Billy Mitchell Airport], USA
HND	Tokyo [Haneda], Japan
HNE	Tahneta Pass Lodge, AK [Tahneta Pass Airport], USA
HNG	Hienghene, New Caledonia
HNH	Hoonah, AK [Hoonah Airport], USA
HNI	Heiweni, Papua New Guinea
HNK	Hinchinbrooke Island, Queensland, Australia
HNL	Honolulu, HI [Honolulu International Airport], USA
HNM	Hana, HI [Hana Airport], USA
HNN	Honinabi, Papua New Guinea
HNO	Herzegovina, Bosnia-Herzegovina
HNR	Harlan, IA [Harlan Municipal Airport], USA
HNS	Haines, AK [Haines Airport], USA
HNX	Hanna, WY, USA
HNY	Hengyang, China
HNZ	Oxford, NC [Henderson-Oxford Airport], USA
HOA	Hola, Kenya
HOB	Hobbs, NM [Lea County (Hobbs) Airport], USA
HOC	Komaco, Papua New Guinea
HOD	Hodeida, Yemen
HOE	Houeisay, Laos
HOF	Hofuf [Al Hasa], Saudi Arabia
HOG	Holguin, Cuba
HOH	Hohenems, Austria
HOI	Hao Island, French Polynesia
HOK	Hookers Creek, Northern Territory, Australia
HOL	Holikachu, AK, USA
HOM	Homer, AK [Homer Airport], USA
HON	Huron, SD [Huron Regional Airport], USA
HOO	Quanduc, Vietnam
HOP	Fort Campbell (Hopkinsville), KY [Campbell Army Air Field], USA
HOQ	Hof, Germany
HOR	Horta (Faial Island), Azores, Portugal
HOT	Hot Springs, AR [Memorial Field], USA
HOU	Houston, TX [William P. Hobby Airport], USA
HOV	Oersta/Volda [Hovden], Norway
HOW	Balboa/Fort Kobbe [Howard Air Force Base], Panama
HOX	Homalin, Myanmar
HOY	Hoy Island, United Kingdom
HPA	Haapai, Tonga
HPB	Hooper Bay, AK [Hooper Bay Airport], USA
HPE	Hope Vale, Queensland, Australia
HPH	Hai Phong, Vietnam
HPM	Palmas del Mar, Puerto Rico
HPN	Westchester County (White Plains), NY [Westchester County Airport], USA
HPR	Pretoria [Central Pretoria Airport], South Africa
HPT	Hampton, IA [Hampton Municipal Airport], USA
HPV	Princeville (Hanalei), HI [Princeville Airport], USA
HPY	Baytown, TX [Baytown Airport], USA
HQG	Hugoton, KS [Hugoton Municipal Airport], USA
HQM	Hoquiam, WA [Bowerman Airport], USA
HQZ	Mesquite, TX [Phil L. Hudson Municipal Airport], USA
HRA	Mansehra, Pakistan
HRB	Harbin, China
HRE	Harare, Zimbabwe
HRG	Hurghada, Egypt
HRJ	Chaurjhari, Nepal
HRK	Kharkiv (Kharkov), Kharkiv, Ukraine
HRL	Harlingen, TX [Rio Grande Valley International Airport], USA
HRM	Hassi Rmel, Algeria
HRN	Heron Island, Queensland, Australia
HRO	Harrison, AR [Boone County Airport], USA
HRR	Herrera, Colombia
HRS	Harrismith, South Africa
HRT	Harrogate, United Kingdom
HRU	Herington, KS [Herington Municipal Airport], USA
HRX	Hereford, TX [Hereford Municipal Airport], USA
HRY	Henbury, Northern Territory, Australia
HSA	Bay St. Louis, MS [Stennis International Airport], USA
HSB	Harrisburg, IL [Harrisburg-Raleigh Airport], USA
HSC	Shaoguan, China
HSD	Oklahoma City, OK [Sundance Airpark], USA
HSH	Las Vegas, NV [Las Vegas-Henderson Sky Harbor Airport], USA
HSI	Hastings, NE [Hastings Municipal Airport], USA
HSL	Huslia, AK [Huslia Airport], USA
HSM	Horsham, Victoria, Australia
HSO	Hsin Chu, Taiwan
HSP	Hot Springs, VA [Ingalls Field], USA
HSR	Hot Springs, SD [Hot Springs Municipal Airport], USA
HSS	Hissar, India
HST	Homestead, FL [Homestead Air Force Base], USA
HSV	Huntsville/Decatur, AL [Huntsville International Airport-Carl T. Jones Field], USA
HTA	Chita, Chita [Kadala], Russia
HTB	Terre de Bas, Guadeloupe
HTF	Hatfield, England, United Kingdom
HTH	Hawthorne, NV [Hawthorne Municipal Airport], USA
HTI	Hamilton Island, Queensland, Australia
HTL	Houghton Lake, MI [Roscommon County Airport], USA
HTN	Hotan, China
HTO	East Hampton, NY [East Hampton Airport], USA
HTR	Hateruma, Japan
HTS	Huntington, WV [Tri-State/Milton J. Ferguson Field], USA
HTU	Hopetown, South Africa
HTV	Huntsville, TX [Huntsville Municipal Airport], USA
HTW	Chesapeake, OH/Huntington, WV [Lawrence County Airpark], USA
